Name,Address,Online Order Accepted,Table booking allowed,Rating,Phone,Location,Restaurant type,Cuisine,Average cost for 2
Capsicum Family Restaurant,"774, 3rd Floor, 16th Main, 7th Cross, 2nd Stage, BTM, Bangalore",Yes,No,3.8,080 49652678,BTM,Casual Dining,"Biryani, North Indian",800
Sasu Maa Ki Rasoi,"Near Amruta Engineering College, Central Jail Road, Kasavanahalli, Sarjapur Road, Bangalore",Yes,No,3.6 ,+91 7760460483,Sarjapur Road,Quick Bites,"North Indian, Chinese",300
Ghee Positive,"9, Nanjappa Reddy Layout, Koramangala 8th Block, Bengaluru",Yes,No,3.8 ,+91 9900693912,Koramangala 8th Block,Quick Bites,"North Indian, Chinese",300
Mangala Hotel,"5, 1st Main, Jakkasandra Extension, Koramangala 1st Block, Bangalore",Yes,No,3.6,"+91 9886998474

080 40944279",Koramangala 1st Block,Quick Bites,"Kerala, Chinese, North Indian",300
Iyengar's Inn,"A/54, 31st A Cross, 2nd Main, National College Road, 7th Block, Jayanagar, Bangalore",No,No,4.1 ,"+91 9886481618
+91 9986033963",Jayanagar,Quick Bites,South Indian,100
Blue Tokai Coffee Roasters,"583, 80 Feet Road, Opposite Bethany High School, Koramangala 8th Block, Banglore",Yes,No,4.0 ,+91 9319970404,Koramangala 8th Block,Cafe,"Cafe, Coffee",400
Nuts Over Salads Cafe,"1, Nirmala Mansion, 4th Cross, 17th A Main, 60 Feet Road, Koramangala 5th Block, Bangalore",Yes,Yes,4.5 ,"080 25533344
+91 7019629831",Koramangala 5th Block,Cafe,"Cafe, Salad",800
1522 - The Pub,"3, 80 Feet Road, 4-C Block, Koramangala 4th Block, Bangalore",No,Yes,4.2 ,080 49652895,Koramangala 4th Block,Pub,"Chinese, Continental, North Indian","1,400"
The Filter Coffee,"7M-213, 2nd Block, 80 Feet Road, HRBR Layout, Banaswadi, Bangalore",No,No,4.0 ,+91 9900455577,Banaswadi,Mess,"South Indian, Coffee",200
KFC,"Ascendas Park Square, 3rd Floor, ITPB, Whitefield Road, Bangalore, Whitefield, Bangalore",Yes,No,2.8,080 33994444,"ITPL Main Road, Whitefield",Food Court,"Burger, Fast Food",400
Zhang's - Chinese Restaurant,"1743, Raghavendra Plaza , 2nd Phase, (Near Diwakars Hospital), JP Nagar, Bangalore",Yes,No,4.1,"080 26595988
080 26596420",JP Nagar,Casual Dining,"Chinese, Momos",700
Cafe Mangii,"204/A, Comet Block, UB City, Vittal Mallya Road, Near Lavelle Road, Lavelle Road, Bangalore",Yes,Yes,4.3 ,+91 8022270098,Lavelle Road,Casual Dining,"Italian, Continental, Pizza","1,600"
Tipsy Bull - The Bar Exchange,"2008, 2nd Floor, 100 Feet Road, Indiranagar, Bangalore",No,Yes,4.4,080 49652910,Indiranagar,"Bar, Casual Dining","Chinese, Continental, North Indian, Mexican","1,400"
The Urban Roof,"#406, 5th Main Rd, HRBR Layout 2nd Block, HRBR Layout, Kalyan Nagar, Bengaluru, Karnataka 560043 , Bengaluru",Yes,No,3.9,"+91 9008327727
080 41109889",Kalyan Nagar,Casual Dining,"Italian, Chinese, Continental",800
Behrouz Biryani,"2884,1st Floor Subramanya Nagar, Rajajinagar, Bangalore",Yes,No,4.0 ,+91 7700050050,Rajajinagar,Delivery,Biryani,650
Nandhini,"Near Petrol Bunk, Horamavu Main Road, Banaswadi, Bangalore",Yes,No,3.8,"+91 9590229533
+91 9972166296",Banaswadi,"Casual Dining, Bar","Andhra, Chinese, North Indian",600
Tibetan Mother's Kitchen,"404, 1st C Cross, Near Vodafone Store, 7th Block, Koramangala 7th Block, Bangalore",Yes,No,4.0 ,"+91 8041739260


+91 8553085570",Koramangala 7th Block,Casual Dining,"Tibetan, Chinese, Momos",500
Three Dots & A Dash,"47/1, 4th Floor, 9th Cross, 1st Main, Miniforest, Phase 3, JP Nagar, Bangalore",No,Yes,4.3,080 49652186,JP Nagar,"Bar, Casual Dining","European, Continental","1,500"
Daily Bread,"135/5, 15th Cross, 3rd Stage, JP Nagar, Bangalore",No,No,3.2,080 64526672,JP Nagar,"Bakery, Quick Bites","Bakery, Fast Food, Italian",600
Sichuan,"1552, 19th Main, Sector 1, Opposite Indian Oil Petrol Bunk, HSR, Bangalore",Yes,No,4.0 ,"+91 8151800777
+91 8152800777",HSR,Casual Dining,"Chinese, Asian, Seafood",800
Amber Rush by The Pool,"31 Silver Springs Layout, Old Airport Varthur Main Road, Marathahalli, Bangalore",No,No,3.9 ,"+91 9164716778
+91 7013179604",Marathahalli,"Bar, Casual Dining","North Indian, Chinese, Continental","1,500"
RockSalt,"3rd Floor, 15, Madras Bank Road/ Museum Road, Above NEXA Showroom, Bangalore",Yes,Yes,4.4,"+91 9740255099
080 48909678",St. Marks Road,"Bar, Casual Dining",Modern Indian,"1,900"
